id,timestamp,category,amount
TXN-100001,2026-08-26 16:08:40,ELECTRONICS,1436.65
TXN-100002,2026-08-27 00:03:40,HOME,342.5
TXN-100003,2026-08-26 22:12:40,GROCERY,579.56
TXN-100004,2026-08-26 11:18:40,ELECTRONICS,1120.89
TXN-100005,2026-08-26 07:18:40,HOME,1307.09
TXN-100006,2026-08-26 18:50:40,GROCERY,737.61
TXN-100007,2026-08-26 16:53:40,CLOTHING,1160.14
TXN-100008,2026-08-26 21:19:40,GROCERY,1461.11
TXN-100009,2026-08-26 17:56:40,ELECTRONICS,172.76
TXN-100010,2026-08-26 03:28:40,GROCERY,201.35
TXN-100011,2026-08-26 13:05:40,AUTOMOTIVE,477.4
TXN-100012,2026-08-26 18:40:40,AUTOMOTIVE,1353.29
TXN-100013,2026-08-26 04:38:40,GROCERY,133.3
TXN-100014,2026-08-26 10:15:40,HOME,1126.02
TXN-100015,2026-08-26 03:25:40,CLOTHING,692.45
TXN-100016,2026-08-26 20:01:40,GROCERY,850.82
TXN-100017,2026-08-26 22:16:40,ELECTRONICS,1058.57
TXN-100018,2026-08-26 08:08:40,GROCERY,1292.66
TXN-100019,2026-08-26 06:24:40,HOME,1223.23
TXN-100020,2026-08-26 19:57:40,CLOTHING,167.48
TXN-100021,2026-08-26 23:24:40,ELECTRONICS,1234.61
TXN-100022,2026-08-26 04:26:40,HOME,289.03
TXN-100023,2026-08-26 12:28:40,CLOTHING,591.62
TXN-100024,2026-08-26 20:06:40,ELECTRONICS,1096.63
TXN-100025,2026-08-26 19:15:40,ELECTRONICS,513.07
TXN-100026,2026-08-26 17:23:40,GROCERY,348.11
TXN-100027,2026-08-26 19:32:40,GROCERY,66.77
TXN-100028,2026-08-26 21:04:40,GROCERY,35.99
TXN-100029,2026-08-26 18:22:40,ELECTRONICS,386.85
TXN-100030,2026-08-26 06:36:40,GROCERY,1068.93
TXN-100031,2026-08-26 08:13:40,HOME,1126.29
TXN-100032,2026-08-26 12:52:40,CLOTHING,16.45
TXN-100033,2026-08-26 08:30:40,GROCERY,1412.11
TXN-100034,2026-08-26 12:18:40,CLOTHING,1154.31
TXN-100035,2026-08-26 15:51:40,ELECTRONICS,215.96
TXN-100036,2026-08-26 05:56:40,AUTOMOTIVE,1313.4
TXN-100037,2026-08-26 21:08:40,AUTOMOTIVE,471.64
TXN-100038,2026-08-26 19:41:40,GROCERY,1390.11
TXN-100039,2026-08-27 00:57:40,AUTOMOTIVE,1384.28
TXN-100040,2026-08-26 02:18:40,CLOTHING,1493.03
TXN-100041,2026-08-26 14:39:40,GROCERY,95.81
TXN-100042,2026-08-26 01:15:40,AUTOMOTIVE,162.77
TXN-100043,2026-08-26 07:51:40,GROCERY,142.26
TXN-100044,2026-08-26 11:23:40,HOME,333.2
TXN-100045,2026-08-26 09:53:40,HOME,380.99
TXN-100046,2026-08-26 02:03:40,GROCERY,863.08
TXN-100047,2026-08-26 01:26:40,HOME,757.69
TXN-100048,2026-08-26 05:05:40,AUTOMOTIVE,431.53
TXN-100049,2026-08-26 16:41:40,AUTOMOTIVE,871.37
TXN-100050,2026-08-26 20:22:40,AUTOMOTIVE,604.47
TXN-100051,2026-08-26 17:14:40,HOME,107.6
TXN-100052,2026-08-26 20:20:40,CLOTHING,436.36
TXN-100053,2026-08-26 17:03:40,CLOTHING,995.37
TXN-100054,2026-08-26 02:15:40,AUTOMOTIVE,1439.26
TXN-100055,2026-08-26 18:47:40,CLOTHING,206.37
TXN-100056,2026-08-26 06:52:40,ELECTRONICS,70.73
TXN-100057,2026-08-26 10:11:40,GROCERY,14.59
TXN-100058,2026-08-26 17:46:40,CLOTHING,1068.57
TXN-100059,2026-08-26 21:07:40,CLOTHING,205.46
TXN-100060,2026-08-26 12:07:40,CLOTHING,1012.83
TXN-100061,2026-08-26 04:29:40,CLOTHING,304.21
TXN-100062,2026-08-26 17:29:40,HOME,566.59
TXN-100063,2026-08-26 09:28:40,GROCERY,1497.08
TXN-100064,2026-08-26 17:08:40,GROCERY,1044.12
TXN-100065,2026-08-26 02:07:40,AUTOMOTIVE,293.07
TXN-100066,2026-08-26 04:16:40,HOME,411.99
TXN-100067,2026-08-26 14:01:40,GROCERY,1381.87
TXN-100068,2026-08-27 00:25:40,GROCERY,1475.81
TXN-100069,2026-08-26 03:24:40,HOME,960.78
TXN-100070,2026-08-26 02:56:40,HOME,1304.22
TXN-100071,2026-08-26 14:05:40,GROCERY,1055.09
TXN-100072,2026-08-26 08:40:40,CLOTHING,572.73
TXN-100073,2026-08-26 09:22:40,CLOTHING,565.73
TXN-100074,2026-08-26 18:19:40,AUTOMOTIVE,921.62
TXN-100075,2026-08-26 19:10:40,ELECTRONICS,914.65
TXN-100076,2026-08-26 19:42:40,AUTOMOTIVE,917.64
TXN-100077,2026-08-26 10:13:40,AUTOMOTIVE,74.48
TXN-100078,2026-08-26 17:59:40,HOME,350.5
TXN-100079,2026-08-27 00:16:40,AUTOMOTIVE,1161.09
TXN-100080,2026-08-26 19:35:40,ELECTRONICS,160.5
,2026-08-27 00:59:40,GROCERY,100.50
TXN-ERR-82,2026-08-27 00:59:40
,2026-08-27 00:59:40,GROCERY,100.50
TXN-ERR-84,2026-08-27 00:59:40
TXN-ERR-85,2026-08-27 00:59:40
TXN-ERR-86,invalid-date-format,ELECTRONICS,250.00
TXN-ERR-87,2026-08-27 00:59:40
TXN-ERR-88,2026-08-27 00:59:40
TXN-ERR-89,invalid-date-format,GROCERY,250.00
TXN-ERR-90,2026-08-27 00:59:40,CLOTHING,-99.99
TXN-ERR-91,2026-08-27 00:59:40,CLOTHING,-99.99
TXN-ERR-92,2026-08-27 00:59:40,CLOTHING,-99.99
TXN-ERR-93,2026-08-27 00:59:40
TXN-ERR-94,2026-08-27 00:59:40,HOME,-99.99
TXN-ERR-95,2026-08-27 00:59:40,AUTOMOTIVE,-99.99
TXN-ERR-96,2026-08-27 00:59:40,CLOTHING,-99.99
,2026-08-27 00:59:40,CLOTHING,100.50
TXN-ERR-98,2026-08-27 00:59:40
TXN-ERR-99,invalid-date-format,ELECTRONICS,250.00
TXN-ERR-100,invalid-date-format,AUTOMOTIVE,250.00
